dataset/export/armas (1287).jpg.rf.0b0ab5787ebc74fdfd518f2910342331.jpg,18,221,160,233,pistol
dataset/export/armas (4).jpg.rf.ab917ea1cc3eee37d9ce1fac8970b620.jpg,21,119,152,237,pistol
dataset/export/armas (2092).jpg.rf.6b209c162540adb3661d7e67f8b788d1.jpg,72,262,237,368,pistol
dataset/export/armas (2537).jpg.rf.46e0f12731b85e7ee70c86198423a8ce.jpg,3,381,5,403,pistol
dataset/export/armas (1011).jpg.rf.d140a06f57b2321fc63ff67e25235985.jpg,0,271,41,318,pistol
dataset/export/armas (2557).jpg.rf.f4b073989248ad3f8cf52287ad81a2d7.jpg,3,406,10,408,pistol
dataset/export/armas (1655).jpg.rf.a33ff7098b2144d023b9c7ad9ab01eaf.jpg,127,260,174,340,pistol
dataset/export/armas (2669).jpg.rf.65b1715525ed4ac11220cec7ae094b5b.jpg,3,399,7,411,pistol
dataset/export/armas (1246).jpg.rf.2b6173a07c49e0ad3755b64134eeff25.jpg,100,210,110,312,pistol
dataset/export/armas (1467).jpg.rf.1aa10ef2828e9310b39bd096c5f3a1d8.jpg,156,274,189,365,pistol
dataset/export/armas (2195).jpg.rf.2f0b3b16e50bf99713c870fe4ff760a8.jpg,3,395,8,406,pistol
dataset/export/armas (1322).jpg.rf.9d0c2a5d3e8e58778402158be0fc07d3.jpg,17,394,39,412,pistol
dataset/export/armas (1821).jpg.rf.8ca0057393095ffdf789483f0734d672.jpg,0,332,84,346,pistol
dataset/export/armas (230).jpg.rf.ff090ac29e9cd8cde3d5823bb88d7f0c.jpg,105,142,250,291,pistol
dataset/export/armas (591).jpg.rf.a1be9310e7a18869252b2230010b40aa.jpg,62,105,284,308,pistol
dataset/export/armas (974).jpg.rf.6a87feb42a21e2d046a45de4beb4cb78.jpg,4,130,221,260,pistol
dataset/export/armas (2738).jpg.rf.9306bd6f0dc7696e280921ffd5e64634.jpg,8,409,80,411,pistol
dataset/export/armas (2022).jpg.rf.7dd47af4d57aa33465dd4fde172fb172.jpg,101,130,228,278,pistol
dataset/export/armas (773).jpg.rf.7ba5dc04f1272f7626456d12a2be1b1a.jpg,14,376,32,400,pistol
dataset/export/armas (2274).jpg.rf.1961a6462f4001697f43dbb51d86bf28.jpg,0,411,3,413,pistol
dataset/export/armas (2850).jpg.rf.642eef9728b554caa0810667ff21e63a.jpg,25,236,116,327,pistol
dataset/export/armas (1740).jpg.rf.e38e85eea500826071131451a44db301.jpg,4,341,17,368,pistol
dataset/export/armas (2861).jpg.rf.7f3e41aac402ac34f700cd9874fe943d.jpg,97,129,308,415,pistol
dataset/export/armas (2861).jpg.rf.7f3e41aac402ac34f700cd9874fe943d.jpg,1,24,262,371,pistol
dataset/export/armas (1946).jpg.rf.78fdc86327f743f6e461c61b34ba33b6.jpg,117,155,153,175,pistol
dataset/export/armas (284).jpg.rf.1337486b85d49c28aef2e1afebdba77b.jpg,0,402,6,403,pistol
dataset/export/armas (2989).jpg.rf.52a394b0a0a2a8b835e51dd20d84d8a1.jpg,5,385,49,406,pistol
dataset/export/armas (1595).jpg.rf.d3c96367356cfde1ad83572338049759.jpg,7,404,11,406,pistol
dataset/export/armas (2031).jpg.rf.e1b602b151dcfa59ddf943da0f92b8d2.jpg,53,85,132,173,pistol
dataset/export/armas (165).jpg.rf.0b486a6a67aaaf10fa99debd0bdf6f9d.jpg,127,183,225,250,pistol
dataset/export/armas (249).jpg.rf.08b47aac37fdc4889d581549bcae3da2.jpg,155,209,187,248,pistol
dataset/export/armas (449).jpg.rf.84d8e50fec0e0a8812a4e8b76bf279ee.jpg,218,246,224,265,pistol
dataset/export/armas (1966).jpg.rf.81b75c0a979acd72c1230adec1cc304d.jpg,43,174,142,283,pistol
dataset/export/armas (798).jpg.rf.2705d8e12e796551b0b3aad9894e7c58.jpg,2,377,18,387,pistol
dataset/export/armas (2655).jpg.rf.673c234c4600183f1f707c632ce184c3.jpg,5,398,7,402,pistol
dataset/export/armas (2539).jpg.rf.75c508a1727addba9d5d2ef65501e0c9.jpg,0,402,3,408,pistol
dataset/export/armas (2042).jpg.rf.f6d7631d83037ca92e58e53399f46cb1.jpg,113,239,141,280,pistol
dataset/export/armas (148).jpg.rf.fa35d27b2fed5fcd8c015a6990730be2.jpg,206,350,238,358,pistol
dataset/export/armas (2439).jpg.rf.433dec30acaf23c03d931aec7693f380.jpg,29,354,31,372,pistol
dataset/export/armas (2017).jpg.rf.a9dd3edb28bccab2b9593d7399326c37.jpg,1,168,5,413,pistol
dataset/export/armas (2017).jpg.rf.a9dd3edb28bccab2b9593d7399326c37.jpg,20,371,249,398,pistol
dataset/export/armas (2349).jpg.rf.86b3ef1bc918449a249fe636af81a492.jpg,34,387,35,392,pistol
dataset/export/armas (1242).jpg.rf.2be8a7bcb172d436c663fa637a4d1cb1.jpg,30,303,49,407,pistol
dataset/export/armas (2864).jpg.rf.5277a538682d33a7b625953585e2d86c.jpg,120,192,121,193,pistol
dataset/export/armas (299).jpg.rf.f3c7e0f5484b80a70a93f0b38468d7cf.jpg,135,339,247,343,pistol
dataset/export/armas (414).jpg.rf.49fb68059a1af3c0b91cac4890b0ad09.jpg,80,204,82,241,pistol
dataset/export/armas (414).jpg.rf.49fb68059a1af3c0b91cac4890b0ad09.jpg,2,121,86,218,pistol
dataset/export/armas (127).jpg.rf.28948db675a38f4b0e8aaa8ce067f4e7.jpg,94,148,132,177,pistol
dataset/export/armas (1651).jpg.rf.8a1ec0b4df4777d7461c84acc3d531b8.jpg,3,402,53,406,pistol
dataset/export/armas (723).jpg.rf.5b8f292cc76ea86c45b46a896fce3b1e.jpg,47,140,116,268,pistol
dataset/export/armas (2736).jpg.rf.9a877b32d3a72cddcbf8e62a1899ca26.jpg,0,395,10,400,pistol
dataset/export/armas (2246).jpg.rf.6d02d4cb2978ff214f40ebaaade63403.jpg,3,388,7,411,pistol
dataset/export/armas (1280).jpg.rf.73850e898176fa05a4456861107c087d.jpg,105,230,136,240,pistol
dataset/export/armas (1405).jpg.rf.13088d0bd54d88281cf955ad463afd27.jpg,0,372,27,388,pistol
dataset/export/armas (2767).jpg.rf.805b0ea33a2e9e573efc5b864d60948a.jpg,0,400,10,406,pistol
dataset/export/armas (1761).jpg.rf.506c89ae6fa2a5cf398f3f98dcf7a871.jpg,141,393,233,399,pistol
dataset/export/armas (2775).jpg.rf.0757b6e0033b608d293dce100c3622c1.jpg,5,409,10,413,pistol
dataset/export/armas (2266).jpg.rf.ca8d3fb6d8e5dd2b5a6e46765fd29e53.jpg,17,399,18,408,pistol
dataset/export/armas (443).jpg.rf.af7b401ada25c80e39911e50002251ef.jpg,1,366,4,415,pistol
dataset/export/armas (746).jpg.rf.ab1e8d1660cb1a46f33e60bc8a286390.jpg,48,246,157,414,pistol
dataset/export/armas (364).jpg.rf.a0fa17ac6fdfff97ddc2fb5435a83172.jpg,2,93,51,237,pistol
dataset/export/armas (2198).jpg.rf.45c53f5521bbbb11a945561a41d42a50.jpg,3,381,5,403,pistol
dataset/export/armas (2290).jpg.rf.781a31847dd763a659b637d79ee75b9f.jpg,0,395,3,402,pistol
dataset/export/armas (1418).jpg.rf.c7848e27ba8cc945ff85ecd668c251f6.jpg,191,255,225,286,pistol
dataset/export/armas (377).jpg.rf.fd2ebc523db253be87ac8c168cb4046a.jpg,42,121,241,270,pistol
dataset/export/armas (1586).jpg.rf.f8cd4749b200ad4704b09b6caa778eb9.jpg,1,336,80,415,pistol
dataset/export/armas (250).jpg.rf.1e827819d51e08f7f74bca35134efaf8.jpg,6,403,11,407,pistol
dataset/export/armas (1243).jpg.rf.7a5c0fc36e63baa040e66ec9183662d2.jpg,19,298,34,398,pistol
dataset/export/armas (1981).jpg.rf.2569270114ac2d4a241836d3465f80ac.jpg,0,336,1,378,pistol
dataset/export/armas (1721).jpg.rf.d3d6385494040976180d10a89867e926.jpg,25,184,35,257,pistol
dataset/export/armas (2419).jpg.rf.71499a830140e916fe943f330de490a0.jpg,14,385,21,395,pistol
dataset/export/armas (2582).jpg.rf.b6f4c36adaba1d8aa900bc7375d0f0de.jpg,0,393,10,413,pistol
dataset/export/armas (2245).jpg.rf.8b5c4e279d488a2e4b330bc9f4651deb.jpg,5,381,17,403,pistol
dataset/export/armas (385).jpg.rf.f4e0af65afda1b78b09085ca945eb01b.jpg,2,334,77,368,pistol
dataset/export/armas (1488).jpg.rf.f7850cf54462ad0459ff164442a615dc.jpg,47,317,94,338,pistol
dataset/export/armas (1851).jpg.rf.8234132115c8cd065589b33bfbbe3b82.jpg,136,181,145,279,pistol
dataset/export/armas (523).jpg.rf.ba72cd1f96e7de0a8cb6f0e08af0df13.jpg,3,349,60,364,pistol
dataset/export/armas (740).jpg.rf.c0f76fdc3c589a7f80bd3d9940e37d5d.jpg,4,236,92,365,pistol
dataset/export/armas (2078).jpg.rf.723fba51bfa0f429821385fefadba85e.jpg,45,65,142,163,pistol
dataset/export/armas (2100).jpg.rf.677c6cc6d2bfe6615ba349f75580a849.jpg,24,243,35,369,pistol
dataset/export/armas (1354).jpg.rf.c5afd33e584c940dc6686f22c1a92743.jpg,15,314,23,398,pistol
dataset/export/armas (1340).jpg.rf.2e109e22fa730ee4b25241b1ed3f467c.jpg,11,210,12,284,pistol
dataset/export/armas (1340).jpg.rf.2e109e22fa730ee4b25241b1ed3f467c.jpg,14,299,231,404,pistol
